episode,objective_cost,constraint_cost
1,40.1146556419742,524.9051023554538
2,48.297491130863705,459.65418656016294
3,51.661099170494566,405.5947876402105
4,49.490977235425504,358.66585187309556
5,48.350374911097724,331.71267444917055
6,46.733587499395384,316.34719150463195
7,45.33218749370265,307.1567348935277
8,44.11038622844335,301.90543696435424
9,43.02949900326345,297.10641317904026
10,42.05482539479946,293.1282010952214
11,41.28334136115514,278.71191157180334
12,39.29095494056894,262.0895748056079
13,36.746680853187364,256.49704590816896
14,35.49115726854304,260.1949893937443
15,34.179478507007076,264.3046034072872
16,33.3132208445194,268.3884159445459
17,32.629433611168984,271.73038832513544
18,32.00783777512947,274.69342063875087
19,31.484523683255055,278.34731566569087
20,31.080300276097386,281.90553689744456
21,30.751887951209866,285.27370405726566
22,30.464961045904182,288.93438008549356
23,30.193689003948094,292.28410608935326
24,29.94488736372115,293.8243409452058
25,29.67719166803888,296.49319971768523
26,29.509042737857964,299.6182064697288
27,29.315532237874308,300.75707682055844
28,29.171747256252008,301.80208112723477
29,29.013622126465417,303.2409067626603
30,28.80130716416529,305.0346874571891
31,28.627473000688134,307.2267125596704
32,28.545009436719273,309.5802484684144
33,28.400967095196037,311.0535212961648
34,28.33621913114785,313.5691780507406
35,28.21902112093311,314.7949071082989
36,28.135504251339338,315.1442815717334
37,27.99313999059524,316.8286540549743
38,27.951542650966637,318.4936241470576
39,27.91221476269453,319.1018763037613
40,27.91253717308628,320.6149858618164
41,27.844936106174362,321.1996221913927
42,27.70954438790324,321.26477690589803
43,27.629092349275247,321.3173167205804
44,27.538330421643764,322.9124859433099
45,27.508834047884314,324.6060547331345
46,27.426387900946917,325.6893898661832
47,27.391412012637396,327.37852455385274
48,27.230493239444773,327.5106771749545
49,27.139469094196915,329.625425669935
50,27.089625650160485,330.33371398909384
51,27.054156762845558,331.4819307818573
52,26.98719213800031,332.66214761605625
53,26.997354684060113,334.8820625541664
54,26.978497653282677,335.8110368004478
55,26.917866097738816,336.5164447146855
56,26.84912531197844,337.68495381578873
57,26.839421299591866,338.32724859476383
58,26.801925310102174,339.2345973684867
59,26.80266739947591,339.3736013612491
60,26.74682526893659,339.5959744515965
61,26.73331869265433,339.92692276334014
62,26.72826103481108,339.4073530719583
63,26.705310329713534,338.9885582704818
64,26.684975408945682,338.99107394631176
65,26.66157322122816,338.12679444778746
66,26.595478570839717,338.4801366436146
67,26.55685410345292,338.1284487612494
68,26.515483766465994,337.2833578209804
69,26.462241809228097,336.8652881914981
70,26.441458375718796,337.4629934895579
71,26.384148964299204,338.25567655921213
72,26.321684153417113,338.51070488665715
73,26.303478778351085,338.7769721108808
74,26.161949165165087,337.6850023240112
75,26.1469786849013,338.98156020566904
76,26.19767999372071,339.17346334284616
77,26.135220360815566,338.7533077538013
78,26.191668642889812,340.2235098256954
79,26.193299495207697,341.7024774559866
80,26.15092999808231,341.78646910616646
81,26.21045409868068,342.65459124810036
82,26.270550835454113,344.4739951623277
83,26.211972190918047,344.88054942887226
84,26.29205604656058,347.4219521267185
85,26.28324180819846,348.4616972463174
86,26.233207101294294,347.84492417864635
87,26.220348183781322,348.444964066444
88,26.240554815277882,349.0084451240073
89,26.203288559751854,348.5936986504726
90,26.207456471489266,348.93360904440766
91,26.141094857479153,348.32899404434175
92,26.081626909652766,347.06106012411107
93,26.139040322841762,348.3379983118036
94,26.12123703667114,347.4712872110374
95,26.118104618566203,347.44284904845443
96,26.064486762899676,347.62609258973544
97,26.104281653711492,348.4783786243211
98,26.058271407472585,349.2197134371784
99,26.029469150552735,349.0278857946316
100,26.00648336088639,349.30969466188776
