episode,snr_db_objective,legacy_objective,objective_delta_new_minus_legacy,snr_db_delay,legacy_delay,delay_delta_new_minus_legacy
1,5.347023538575185,5.347023600670124,-6.209493896847107e-08,1.4308338339489168,1.4308337773521045,5.659681234781999e-08
2,5.39337504786687,5.393352066006677,2.298186019356052e-05,1.5396993626627675,1.5396825306495916,1.6832013175926974e-05
3,5.078739223211898,5.078829754469511,-9.053125761226966e-05,1.4684322435200585,1.4683491349104913,8.310860956717292e-05
4,4.537926845748492,4.539083436825484,-0.001156591076991731,1.4055318235955552,1.4049917124114393,0.000540111184115899
5,4.0453325159074405,4.0456244277191935,-0.0002919118117530317,1.3657490932440566,1.3659197654294704,-0.00017067218541377827
6,3.6560177865512724,3.6695210745492157,-0.013503287997943314,1.3482544157754865,1.3491360940124169,-0.0008816782369303056
7,3.353316228650412,3.3889832996353406,-0.03566707098492872,1.3367673486416372,1.3313320090285679,0.005435339613069301
8,3.130070917860915,3.184180315774308,-0.054109397913392865,1.3240479079753784,1.3169650018022956,0.007082906173082826
9,2.940289494086772,3.0115954645785767,-0.07130597049180487,1.313493132386563,1.3044764525206112,0.009016679865951893
10,2.7686692404200044,2.8567133324929115,-0.08804409207290709,1.312148232712477,1.3020103007302144,0.010137931982262538
11,2.3728034593077996,2.4830574586305665,-0.11025399932276692,1.2906022077378136,1.280887421950541,0.009714785787272584
12,1.9667064686528044,2.100348848918676,-0.13364238026587172,1.2532351658155187,1.2408672130754874,0.01236795274003133
13,1.6711617942279342,1.8238876546294749,-0.15272586040154068,1.2422294433197683,1.2322718645449608,0.009957578774807407
14,1.521460728989433,1.6992180099272083,-0.1777572809377752,1.244063578687549,1.2329077374404152,0.011155841247133758
15,1.4526688491659374,1.6510466604299208,-0.19837781126398335,1.2508851764559639,1.2407694037547168,0.010115772701247083
16,1.420017138684915,1.6285361212970226,-0.20851898261210766,1.2503424939593786,1.2442423136863447,0.006100180273033828
17,1.401976712301246,1.6135396469671797,-0.21156293466593357,1.251012451572884,1.2477945211340422,0.003217930438841776
18,1.3788135831842323,1.5950462648241772,-0.2162326816399449,1.2503543117238156,1.2489091069014462,0.001445204822369428
19,1.3660678971888174,1.5902429820634243,-0.2241750848746069,1.25093536491308,1.2479210003909973,0.003014364522082813
20,1.3497090103612859,1.5774487230800391,-0.22773971271875326,1.2484940161597502,1.244253479054904,0.004240537104846176
21,1.3329073666413813,1.5582156682091597,-0.22530830156777837,1.2486928939057442,1.2471031984926246,0.0015896954131195962
22,1.310978662696086,1.5330906442802477,-0.22211198158416168,1.2518983377170452,1.2546889891340942,-0.0027906514170490393
