segment,metric,snr_db,legacy_power,delta_new_minus_legacy
final,objective,1.2017459308829985,1.4303646070861535,-0.228618676203155
final,delay,1.1160976958754572,1.1348275629290743,-0.018729867053617122
last10,objective_mean,1.1965670167742708,1.4275779209934694,-0.23101090421919857
last10,delay_mean,1.128115653685636,1.141791502725105,-0.013675849039469057
last20,objective_mean,1.1883933419176413,1.4198261823649754,-0.23143284044733403
last20,delay_mean,1.1436201842655234,1.1563112927905272,-0.01269110852500388
