episode,objective,cost
1,7.669033279962407,0.11814965634039352
2,7.995275284066583,0.11895123710774971
3,8.21738823991237,0.12247871354032085
4,8.407693445982622,0.1245103599678352
5,8.570479611993033,0.12349421563204048
6,8.64703558464308,0.12119950612512993
7,8.703591133657465,0.12043069596543761
8,8.73747248809199,0.12102457887635198
9,8.741687976291406,0.12275069117320447
10,8.74511617911579,0.1244218156559937
11,8.834565534543092,0.12724542981387027
12,8.845464971367687,0.12846261074000423
13,8.810659658227523,0.12957027919822794
14,8.741260154865985,0.13086703457682508
15,8.61639863946772,0.13528004755624462
16,8.494069313237125,0.1389206788600658
17,8.36102285980019,0.142721132957019
18,8.217312347636259,0.1473893006164636
19,8.08668868484571,0.1486275589081497
20,7.958453003876209,0.14983051127689193
21,7.817465305165239,0.15025717838224983
22,7.687735706117173,0.15491424222079225
23,7.556353141616663,0.1562305467853756
24,7.421133487983786,0.15802280968615054
25,7.289034664278517,0.16123492803025366
26,7.174965546948914,0.16320830137095532
27,7.047261735260529,0.16444808056688393
28,6.931787985273582,0.16508476087717136
29,6.811485908875883,0.169450632614538
30,6.688721851462869,0.17310663160539233
31,6.583744235771963,0.17629759842569798
32,6.4645285910251955,0.1763646228441293
33,6.345242372312432,0.18062856134027297
34,6.224195463627773,0.18460354727991563
35,6.1106402765059284,0.1848223209966404
36,5.990108857165471,0.18994551691672124
37,5.893717470992332,0.19696879439374185
38,5.7961228047730975,0.20225095644315413
39,5.70368099216466,0.20656726890423283
40,5.599811986257866,0.21273768799960543
41,5.504014519087964,0.2197756038295101
42,5.411395152135114,0.22608066355741538
43,5.3325211711725,0.23316880619522676
44,5.2522010641387515,0.2409606242012007
45,5.175098932956014,0.2478748429966875
46,5.1034366535660025,0.2522056896079581
47,5.02273780818446,0.25407150297773523
48,4.944456081220033,0.25930070705547953
49,4.866531968624327,0.26393152057980884
50,4.799032890795988,0.26994246988547677
51,4.715511283977826,0.27504629484527665
52,4.635257337914343,0.2829700485612856
