solver,theta_dim,num_logged_points,num_actor_updates,final_objective_cost,final_constraint_cost,mean_solve_time_sec,max_solve_time_sec,mean_decision_dim,max_decision_dim
full,25994,60,599,1.5581142433686637,1.132402963761667,0.583112417863099,3.089503800001694,25994.0,25994
span,25994,60,599,1.2415882322397989,1.1206787773854847,0.010795748414050638,0.09189660000083677,5.0,5
active,25994,60,599,1.5379970281235713,1.0993755513159948,0.010357621035112672,0.028250600000319537,1.3856427378964942,4
