solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
full,41,objective,optimal,25994,25994,5,1.6149038000003202,-0.10540769529831613,2.9086580648730838,
full,42,objective,optimal,25994,25994,5,1.5885911000004853,-0.08875419141402376,2.8514712631328933,
full,43,objective,optimal,25994,25994,5,1.8682957000000897,-0.06597539574440478,2.8046682524032454,
full,44,objective,optimal,25994,25994,5,2.084109499999613,-0.046364895901456975,2.7685692223752794,
full,45,objective,optimal,25994,25994,5,2.2612155999995593,-0.035609033445715234,2.722376826271399,
full,46,objective,optimal,25994,25994,5,3.089503800001694,-0.02854572627506373,2.6633250134030377,
full,47,objective,optimal,25994,25994,5,2.5816371999990224,-0.005322062310544412,2.7294136458041396,
full,48,feasible,optimal,25994,25994,5,1.0032667000014044,0.013336458301104432,0.013336458301104432,
full,49,feasible,optimal,25994,25994,5,0.985306299999138,0.025522550028169697,0.025522550028169697,
full,50,feasible,optimal,25994,25994,5,0.6073897000005672,0.028267319490811654,0.028267319490811654,
full,51,feasible,optimal,25994,25994,5,0.6351341999998112,0.027881319630753874,0.027881319630753874,
full,52,feasible,optimal,25994,25994,5,0.5749945000006846,0.015334785940238408,0.015334785940238408,
full,53,feasible,optimal,25994,25994,5,0.63766029999897,0.00969231936377911,0.00969231936377911,
full,54,objective,optimal,25994,25994,5,1.5222214999994321,-0.011247176264470266,2.289364198951231,
full,55,objective,optimal,25994,25994,5,1.6614018000000215,-0.02854273000025465,2.1750244737062467,
full,56,objective,optimal,25994,25994,5,1.516704399999071,-0.051789809940793054,2.0839258152922358,
full,57,objective,optimal,25994,25994,5,1.47754359999999,-0.08035692394631992,2.0120213716766684,
full,58,objective,optimal,25994,25994,5,1.321949900000618,-0.10883198066344668,1.972088562042559,
full,59,objective,optimal,25994,25994,5,1.541321799999423,-0.13038966645935898,1.9387463952846202,
full,60,objective,optimal,25994,25994,5,1.5814795000005688,-0.12687239450110893,1.9209561847489747,
full,61,objective,optimal,25994,25994,5,1.5912681999998313,-0.11397420652532628,1.9070146552228775,
full,62,objective,optimal,25994,25994,5,1.3457333999995171,-0.09640447021753525,1.8947305265971983,
full,63,objective,optimal,25994,25994,5,1.3295577000008052,-0.08144586569320962,1.8871248670384095,
full,64,objective,optimal,25994,25994,5,1.4979825000009441,-0.07050381034090504,1.8850858919607125,
full,65,objective,optimal,25994,25994,5,1.4705942000000505,-0.06333389447236469,1.8908719025023708,
full,66,objective,optimal,25994,25994,5,1.4199986000003264,-0.05160679438591904,1.905680881496852,
full,67,objective,optimal,25994,25994,5,1.549665399999867,-0.03729081020945364,1.9275564136594956,
full,68,objective,optimal,25994,25994,5,1.5979427999991458,-0.017521422246391083,1.9702869201722542,
full,69,feasible,optimal,25994,25994,5,0.6840633000010712,0.002050399424481704,0.002050399424481704,
full,70,feasible,optimal,25994,25994,5,0.7604751999988366,0.022681408504881064,0.022681408504881064,
full,71,feasible,optimal,25994,25994,5,0.8059796000015922,0.03895074177952748,0.03895074177952748,
full,72,feasible,optimal,25994,25994,5,0.7480279000010341,0.05892789469648109,0.05892789469648109,
full,73,feasible,optimal,25994,25994,5,0.9123137999995379,0.07955809062744551,0.07955809062744551,
full,74,feasible,optimal,25994,25994,5,0.7872381999986828,0.10378858767785752,0.10378858767785752,
full,75,feasible,optimal,25994,25994,5,0.8828205999998318,0.13056130632205867,0.13056130632205867,
full,76,feasible,optimal,25994,25994,5,0.7203609999996843,0.15593273743730604,0.15593273743730604,
full,77,feasible,optimal,25994,25994,5,0.6266252000004897,0.18952962640969354,0.18952962640969354,
