episode,objective_cost_real_power,avg_delay_per_user
1,5.347023673484155,1.4308336805237898
2,5.393348562609633,1.5396795110581964
3,5.078985054803948,1.4683038102071393
4,4.541932675873934,1.4026365555803106
5,4.053836416254815,1.361194676635237
6,3.6743536468287994,1.3483722986839761
7,3.3893729796307404,1.3317841322060484
8,3.1785503414449994,1.3194458206359385
9,2.999113944207936,1.309819413166023
10,2.8356514310322187,1.307180060385205
11,2.45368001300683,1.2853176427009436
12,2.0638235157686973,1.2434230671604043
13,1.7797811922023121,1.2345074770244449
14,1.6436477784993822,1.236139209271722
15,1.5855080093078673,1.2417924639867781
16,1.5576649054139886,1.2406461903018138
17,1.5311839538658212,1.2494889734760972
18,1.5090635388074203,1.2483661647575481
19,1.4990325638697635,1.247588191261885
20,1.4852992865876986,1.2463822799797035
21,1.4676837234998237,1.2473139430558255
22,1.4442137570282538,1.2559598354830759
23,1.421561730987001,1.2619593848982174
24,1.402949400342063,1.2641670426063665
25,1.38606046884673,1.2703146670264662
26,1.3817130946755718,1.2679126943740882
27,1.3935243930331689,1.2486171751309372
28,1.3887758885049297,1.2451981307123594
29,1.397459939482075,1.2354924036342663
30,1.3936606666647788,1.2259181548556786
31,1.3949695672941422,1.2211603877164197
32,1.4002895826898547,1.2130989584706826
33,1.3988594354295405,1.2087360494840904
34,1.4012557322508332,1.2099762583178775
35,1.406145243769446,1.202839792802284
36,1.4007488058960258,1.198661019501832
37,1.3826516189109819,1.2090429869281558
38,1.3871624704611276,1.200654897357574
39,1.3666377915546573,1.2111796658115017
40,1.3692131119781792,1.2106785268188456
41,1.3687471080133378,1.206345398888289
42,1.3684408490602575,1.1979215272051187
43,1.3734687767063025,1.188347641830064
44,1.369175023017099,1.1890722121804183
45,1.3701520883625469,1.181452644086494
46,1.3743823827193415,1.1759461302135967
47,1.3781574769054896,1.1716221698547118
48,1.3643442541330881,1.1864205812240347
49,1.3725588953359997,1.1754014366977856
50,1.36439696240661,1.17794390740214
51,1.3586990688980691,1.182532010948325
52,1.342987837189335,1.1928096266463581
53,1.348746184656584,1.1892128854573516
54,1.352102721776687,1.1804915278437187
55,1.346054418343807,1.1838305626281314
56,1.3381195000024233,1.1880327735992582
57,1.3362792269494448,1.1855206347647196
58,1.3425803801490819,1.1754382037192992
59,1.3299612787244266,1.1853420117691753
60,1.325745356987176,1.1889045309308066
61,1.3295342678982482,1.1814301789238375
62,1.3384864588669978,1.1717998398654115
63,1.3254789351505352,1.1776775628926368
64,1.3321231163770813,1.1725844418805471
65,1.332943537295628,1.1659508384182324
66,1.3266287026887538,1.1664452706487016
67,1.3238791025768897,1.163968555807022
68,1.3262408244750281,1.1549538347470756
69,1.323105088184042,1.1565724917678457
70,1.320260022727862,1.1571479846625534
71,1.3167005707580468,1.1593257936106052
72,1.3189093436994754,1.1539400090894814
73,1.3151281440842861,1.1567760302604044
74,1.295935094024295,1.1643556734917087
75,1.3025254797742323,1.1616619048411327
76,1.3049736906945617,1.161316861545702
77,1.3031741151296155,1.167892939210766
78,1.2997171680004158,1.1728123710212859
79,1.315180890066162,1.1554526942765155
80,1.3166087841501282,1.1536068366161534
81,1.3222901474751556,1.1536121574426648
82,1.3223218811447475,1.160945858256241
83,1.321020517201972,1.1588150991006145
84,1.3256779818424929,1.1575469905145994
85,1.3116502783431838,1.1708510452059022
86,1.3248330071363348,1.1621285666186345
87,1.330382342343282,1.1545404895095157
88,1.3341095374895486,1.15165143129611
89,1.3297632234836347,1.1593718208187433
90,1.3337076221030526,1.154428467057074
91,1.3275455055652192,1.1518445350220643
92,1.328553534457245,1.146345715274653
93,1.3361127061607523,1.1435369268536675
94,1.3472002596275106,1.1351931689176726
95,1.3561315422818931,1.1220746479486874
96,1.3461248114558892,1.1252630406326254
97,1.3504196047751977,1.1212407561630264
98,1.3421428649598313,1.125436875570926
99,1.3368227130213333,1.1280762683054102
100,1.343723448465109,1.123778244690034
