episode,objective,cost
1,7.685487683059682,0.13559873868559522
2,8.822926025365362,0.18940233612183885
3,8.882593102659998,0.16806875336640437
4,8.826379431859236,0.10815289469102447
5,9.022768751056526,0.36874471332092135
6,8.326919759260154,0.13141348232924285
7,9.10595488359847,0.14884666109054032
8,8.842068421980638,0.15710118907937645
9,8.728982208061085,0.1568286056377855
10,8.431773293751343,0.1522249153068514
11,8.407310561723365,0.1928554138982809
12,8.30808771622032,0.16797862746234518
13,8.129710536256637,0.17390375716698114
14,8.420392134248466,0.14004970630883817
15,8.364919785705752,0.15657563899396176
16,8.296800540508364,0.11300774924382263
17,8.219175023119863,0.17942757341614335
18,7.861931473001671,0.28596707885592815
19,8.028591594415397,0.159119618491985
20,8.08933132701699,0.16908097928130286
21,7.331601529195263,0.1345763197916271
22,7.6873619943478255,0.15108251973537928
23,7.594973078571939,0.14283919041176332
24,7.360006825166806,0.16516839885154183
25,7.519788602212583,0.23513987485859006
26,7.443087617393179,0.148438088058509
27,7.38624518517642,0.11872778096858794
28,6.920631803498826,0.1556047408183742
29,7.087656802850456,0.13197043282548301
30,6.769079065813127,0.17121873336450175
31,7.153655279529265,0.11372282881732602
32,7.01121241232736,0.16945675228323276
33,7.147591342878514,0.16031775729323985
34,6.504444682981414,0.18034374559614924
35,6.461087914408407,0.24321283320735163
36,6.555533810398459,0.17053267466901004
37,6.452752189671624,0.19990798811664276
38,6.133315647649361,0.21489676862442864
39,6.296034268939261,0.28346532932063984
40,6.00652865512351,0.2079731672916137
41,6.247969726953724,0.14760079368823076
42,6.142938772587108,0.30399898734380915
43,5.9013379526119705,0.1761595541758654
44,6.252528185628662,0.17756194794898816
45,5.990738182470983,0.17423547818993432
46,6.05921017539051,0.25404414402501213
47,5.4450408268574995,0.21079718905543451
48,5.455464143557106,0.21939631505906135
49,5.623190261004123,0.20624770563587155
50,5.340233259954443,0.346848352034185
51,5.170486107330943,0.266153693532115
52,5.207664154176688,0.2501304834024539
53,5.183341488499841,0.30620850701503977
54,5.09178903285587,0.26140181695882414
55,4.951044746985765,0.30842798480940864
56,4.591079689476914,0.34076803792854493
57,4.756925694328924,0.35151581802772947
58,4.603730185662112,0.27066048689392314
59,4.426992839861937,0.33111699595707655
60,4.186559579463646,0.3141035484189343
61,4.123929639558296,0.3910841416606523
62,4.030287432430148,0.4584877111111648
63,3.792080105390406,0.5621413348643687
64,3.8968326152493704,0.40941292710897914
65,3.693413286088819,0.5566449339119512
66,3.605775935186486,0.4444124978860372
67,3.5736588661383557,0.35385829533106644
68,3.3658567965690445,0.4893450226803723
69,3.598792143698313,0.30760082422792684
70,3.1060484075839274,0.5650882711804457
71,3.063623637376022,0.6100708745008052
72,3.268319858912115,0.5412721641726238
73,3.216320346543844,0.5938402182747136
74,3.1819562235088585,0.5354539626122703
75,2.80319911389985,0.7407069371272905
76,2.9582966429600406,0.69259040544258
77,2.9331362865803667,0.5406133928329492
78,3.1166143318913266,0.5298218586383949
79,2.7300673966937192,0.6962435019175425
80,2.724876013851039,0.8672942588018535
81,2.9901581735198226,0.6895006038627522
82,2.8753712072035547,0.6519776436699213
83,2.807079373939209,0.8251280700810004
84,2.8100925359086295,0.5890927719879386
85,3.220383115190749,0.5371161003316162
86,3.248992466126694,0.6314241691691498
87,3.139639747300074,0.49290672436602384
88,3.1550376774621363,0.7577821422483672
89,3.4779649423800483,0.47645129023551647
90,2.9927176580332984,1.0264037781688309
91,3.476426945876541,0.6674826440253842
92,3.2190318298052745,1.0150411681091978
93,3.130896462326879,0.8470906223531807
94,3.3931139269607735,0.6960282195139327
95,3.557402906607268,0.8026217544368525
96,3.856624330682247,0.6024357126918427
97,3.3024027150930753,0.7972068382322448
98,3.5569311743672682,0.9475584964069326
99,3.7699548052820706,0.581466573737485
100,4.230276787160444,0.5053783845707638
