episode,objective_cost,constraint_cost
1,38.30355334630172,521.0597808806823
2,38.38383801108206,520.63934126654
3,38.423308450379274,522.352270650395
4,38.306491694362705,524.4938369514406
5,38.45320268223817,527.0963900830723
6,38.54701809586958,527.7937730845298
7,38.57686705712755,527.9956060248052
8,38.70347244737122,529.9478362340096
9,38.723256402935675,530.2292352055998
10,38.777149841801425,531.2375585314626
11,38.791859065694155,531.5133161527004
12,38.75815642049715,532.0342705040489
13,38.824045259539666,532.2357479992802
14,38.79985039456324,530.9690238138326
15,38.75573306214325,529.2101178457012
16,38.71694371680565,529.3574385657055
17,38.71874248368043,529.5885681263081
18,38.5840022586253,529.0095282337195
19,38.47823852052957,529.5764335473979
20,38.43998926226323,528.2521064355147
21,38.410857761506854,527.7455980930174
22,38.45454508128867,528.3986283474569
23,38.43981991512328,529.5892021111686
24,38.460845074145574,529.2662693620612
25,38.43676730097364,530.3605152684305
26,38.59486265206263,532.1438195110019
27,38.51969410324712,529.7685240079162
28,38.553683268269765,528.6844145919565
29,38.60620545634803,527.8037748144176
30,38.49310536492297,527.9856399278433
31,38.5403445834826,529.5744128073146
32,38.63927452048532,530.5994828549383
33,38.51906041951862,529.6323728109585
34,38.58313031285976,530.4409839616314
35,38.62370246754564,529.8369304968662
36,38.57820281986748,527.7559325190501
37,38.66183877033947,529.6432473288633
38,38.691774961670575,530.0897958014895
39,38.60632945953397,528.4403631273256
40,38.67689322676363,528.5278499766503
41,38.66367397137066,527.5194027907866
42,38.64855318463023,526.1903852515777
43,38.619427827560635,523.8320193854393
44,38.64485527927038,524.5022782776438
45,38.61455345025685,525.068928289219
46,38.538241767625976,524.903289096806
47,38.42961916041508,524.5987437847426
48,38.35819618369503,523.4405268171794
49,38.50468882258627,525.809733663177
50,38.57962318661187,525.3573703878199
51,38.67784428523577,525.4775878431956
52,38.50704584973478,524.8730330358562
53,38.68210620230064,528.1653915391462
54,38.68706023305375,528.7637611182915
55,38.67577913014809,529.226148077799
56,38.601684571179575,529.864466763137
57,38.748808055143094,531.0080796203067
58,38.74405808399067,531.3548480882255
59,38.69299271104521,530.9445324216459
60,38.69011166665751,531.9197237784866
61,38.64712059036539,531.835472572407
62,38.71137460289387,531.1501957792206
63,38.602851002940405,530.2138464359947
64,38.59431963311658,529.7107407641729
65,38.58047735769115,528.5958957527715
66,38.635092777244175,529.2732374825796
67,38.5991792413458,528.5429325545074
68,38.54368085393177,527.2949333825776
69,38.59969866708712,526.5305069998093
70,38.51733916661657,526.109858954221
71,38.52543805891358,527.9067501508229
72,38.52908784716198,528.4322748538963
73,38.61915152493788,528.3759227731063
74,38.499703925905074,527.0181640341305
75,38.56188971466882,528.2853301756033
76,38.6084964682209,527.9463470112546
77,38.529909052159745,526.9099012068327
78,38.69059283347586,528.5923875053629
79,38.745235088779346,529.860814958002
80,38.777001985122986,529.638370449242
81,38.87758548872099,529.6274121211982
82,38.98540657153646,531.2373505012239
83,38.93392417388492,530.6331394686117
84,39.047820600508885,532.9415237007637
85,39.06676172608949,533.2129760918634
86,39.044355175241584,532.2120532008555
87,39.005999197445675,531.7974898584633
88,38.94258032680444,531.733856635095
89,38.83551945368658,530.6545997030373
90,38.78489966760494,530.0018954347865
91,38.651351920163485,528.67339946288
92,38.56441930503864,527.1081525731084
93,38.64028119880841,529.4750227107095
94,38.69981487948558,529.0619083864358
95,38.69579922656393,529.2208183880846
96,38.58792483726248,528.6305314689798
97,38.67454308304116,529.9243210765027
98,38.669942340186935,530.2198082165093
99,38.55284938896983,529.2730537200817
100,38.53004031109376,530.0055210789839
