episode,objective_cost_real_power,avg_delay_per_user
1,5.347023600670124,1.4308337773521045
2,5.393352066006677,1.5396825306495916
3,5.078829754469511,1.4683491349104913
4,4.539083436825484,1.4049917124114393
5,4.0456244277191935,1.3659197654294704
6,3.6695210745492157,1.3491360940124169
7,3.3889832996353406,1.3313320090285679
8,3.184180315774308,1.3169650018022956
9,3.0115954645785767,1.3044764525206112
10,2.8567133324929115,1.3020103007302144
11,2.4830574586305665,1.280887421950541
12,2.100348848918676,1.2408672130754874
13,1.8238876546294749,1.2322718645449608
14,1.6992180099272083,1.2329077374404152
15,1.6510466604299208,1.2407694037547168
16,1.6285361212970226,1.2442423136863447
17,1.6135396469671797,1.2477945211340422
18,1.5950462648241772,1.2489091069014462
19,1.5902429820634243,1.2479210003909973
20,1.5774487230800391,1.244253479054904
21,1.5582156682091597,1.2471031984926246
22,1.5330906442802477,1.2546889891340942
23,1.51041873775674,1.260933670856684
24,1.492712214057858,1.2632576086336182
25,1.4804083268960508,1.265578183426413
26,1.4748748354509917,1.2632440410255674
27,1.4797463252979661,1.2527170004708448
28,1.4796009988506373,1.2498837214880565
29,1.4861301117652297,1.244546341226115
30,1.476322390987975,1.2418130123457072
31,1.4728190953103206,1.2404746427802265
32,1.4886027894337943,1.227074813935133
33,1.4814343786247903,1.2283632735494974
34,1.4835920170967192,1.227691231838052
35,1.4880798364957215,1.2213057969781769
36,1.4833133659797033,1.218202285352839
37,1.4664263261880972,1.2261586007925307
38,1.4609916745137952,1.2237112524428597
39,1.4358031993566114,1.2343265665091103
40,1.4367326499357436,1.234884934162141
41,1.437954486877765,1.2316078892746025
42,1.427247282968577,1.2290030566303867
43,1.4387804258854737,1.216025736280996
44,1.4335639675926075,1.2207859257924858
45,1.4314840783658471,1.210345936170166
46,1.4323685700680133,1.2034877429459119
47,1.4351926574893417,1.1979563328621419
48,1.430121210312157,1.2019725068849296
49,1.4480484432897864,1.1881112758818755
50,1.4514484215426857,1.1849015763443962
51,1.4484754475757786,1.1802550119229211
52,1.4372553196078066,1.1899683861900927
53,1.4412306937562214,1.1858184434997079
54,1.4404832610985812,1.176791473790445
55,1.443198364980602,1.1814215123189202
56,1.4407508805701672,1.1847291442773713
57,1.4410011464379193,1.1839236524132468
58,1.4385318809043808,1.1805640443697887
59,1.4166395806281353,1.1942823133363483
60,1.402914450872967,1.2042813889677764
61,1.4045289062987467,1.2060246383565476
62,1.411982076575681,1.1969230738377017
63,1.4000588885401495,1.1986389901330499
64,1.4131701944069917,1.1910825416276822
65,1.411410015290517,1.1840858816724544
66,1.3994336338032545,1.1907571074001622
67,1.392503144296936,1.1911602086958846
68,1.4006351513383213,1.1820414580754248
69,1.395387927435198,1.1838321810419872
70,1.4027194779125896,1.1699431297432106
71,1.3986499301442392,1.166770459464541
72,1.3942612768619027,1.1632595789285078
73,1.3916062738316861,1.1682571330858555
74,1.3682450405657605,1.1771172730113229
75,1.3674524689716783,1.177456309886727
76,1.383496775122657,1.1655280405451478
77,1.389249572709631,1.1671161378537374
78,1.3840600367072595,1.170889138020748
79,1.4065321401901603,1.1516383391929474
80,1.399581200857391,1.161376112541379
81,1.4058711729344913,1.1654657332840588
82,1.4085513939898333,1.171463270489982
83,1.414598920225374,1.1644598716493806
84,1.4198998988593023,1.1680144472474077
85,1.4078988708309936,1.180127251884791
86,1.4161804286770336,1.1735300233809494
87,1.4112029318937702,1.1716527463344224
88,1.4141511359439836,1.1711569229177003
89,1.4095167704214924,1.1742594454216813
90,1.4128729135885374,1.168181115949121
91,1.4106768656969926,1.1605695178599629
92,1.4193186812409184,1.152949911642798
93,1.4220262846905116,1.1545176464855433
94,1.4301984514893342,1.145266952325877
95,1.4389146561675032,1.1316407508692217
96,1.4300361369986578,1.1364382391411174
97,1.4387059840348828,1.1304667366078494
98,1.4345093265177526,1.130777629769437
99,1.4210282160119867,1.1404600796201716
100,1.4303646070861535,1.1348275629290743
