segment,metric,db_action,legacy_tree,delta_db_minus_legacy
final,objective_last,6.158696101347277,4.7478998538711945,1.4107962474760827
final,cost_last,0.3984395823917692,0.45534167021991556,-0.056902087828146375
last10,objective_last10_mean,5.217863792831265,5.001322613465716,0.2165411793655494
last10,cost_last10_mean,0.6674182983180716,0.5079489618659329,0.1594693364521388
last20,objective_last20_mean,4.786078203432154,5.192360322655753,-0.406282119223599
last20,cost_last20_mean,0.6337460603647197,0.46425879213127963,0.16948726823344007
full,objective_mean,5.059770944786107,7.198553730067098,-2.1387827852809913
full,cost_mean,0.41836896775776444,0.27145764076361956,0.1469113269941449
