solver,label,num_logged_points,num_actor_updates,final_objective_cost,mean_last10_objective_cost,final_constraint_cost,mean_last10_constraint_cost,stable_below_1p2_episode,mean_solve_time_sec,median_solve_time_sec,max_solve_time_sec,total_solve_time_sec,mean_decision_dim,max_decision_dim,branch_counts,status_counts
full,SLDAC (CVX),60,599,1.5581142433686637,1.5898430469977498,1.132402963761667,1.1191615774663501,12,0.583112417863099,0.5004684000014095,3.089503800001694,349.2843382999963,25994.0,25994,feasible:563;objective:36,optimal:599
span,Lower Dimension SLDAC (Span),60,599,1.2415882322397989,1.2710331976815121,1.1206787773854847,1.1082497088129841,12,0.010795748414050638,0.0093101000002207,0.09189660000083677,6.466653300016333,5.0,5,feasible:522;objective:77,optimal:599
active,Lower Dimension SLDAC (Active),60,599,1.5379970281235713,1.563571235216385,1.0993755513159948,1.0923716364697433,11,0.010357621035112672,0.008525699999154313,0.028250600000319537,6.204215000032491,1.3856427378964942,4,feasible:504;objective:95,optimal:599
dual,SLDAC (Lagrangian),60,599,1.2567903846151067,1.2832683129462974,1.141618943823252,1.1288368953207137,12,0.0016244719533061412,0.001505400003225077,0.0052071000027353875,0.9730587000303785,4.0,4,feasible:519;objective:80,optimal:599
