solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
dual,43,objective,optimal,25994,4,5,0.0027568000004976057,-0.11350210830850782,2.7042980417111497,1 3
dual,44,objective,optimal,25994,4,5,0.0023298999985854607,-0.11216143324095768,2.612328860333158,1 3
dual,45,objective,optimal,25994,4,5,0.002698899999813875,-0.10372675755307087,2.5399955477808334,1 3
dual,46,objective,optimal,25994,4,5,0.0021590000033029355,-0.09953323612019893,2.4822586367649815,1 3
dual,47,objective,optimal,25994,4,5,0.00272190000032424,-0.08238984097322216,2.4603392642120614,1 3
dual,48,objective,optimal,25994,4,5,0.003005899998242967,-0.05946393503429859,2.459470767096688,1 3
dual,49,objective,optimal,25994,4,5,0.0035510000016074628,-0.039725820441227744,2.4800927133143253,1 3
dual,50,objective,optimal,25994,4,5,0.00293950000195764,-0.02978610040207874,2.486187422473094,1 3
dual,51,objective,optimal,25994,4,5,0.003389400000742171,-0.016571120970731157,2.5154056434541134,1 3
dual,52,objective,optimal,25994,4,5,0.0031069999968167394,-0.029280773896706802,2.4400265786874407,1 3
dual,53,objective,optimal,25994,4,5,0.0026746000003186055,-0.027325394735464192,2.392361127385919,1 3
dual,54,objective,optimal,25994,4,5,0.003033600001799641,-0.02766448028925511,2.3278750713101215,1 3
dual,55,objective,optimal,25994,4,5,0.0034501999980420806,-0.029583242756466344,2.262682450382083,1 3
dual,56,objective,optimal,25994,4,5,0.0035160000006726477,-0.04420289530083876,2.1792800790434166,1 3
dual,57,objective,optimal,25994,4,5,0.003896599999279715,-0.053155457769700376,2.1193874862459614,1 3
dual,58,objective,optimal,25994,4,5,0.003593899997213157,-0.05591946736801623,2.095539155058536,1 3
dual,59,objective,optimal,25994,4,5,0.003048299997317372,-0.05483549516264752,2.076032189356966,1 3
dual,60,objective,optimal,25994,4,5,0.004298500000004424,-0.04662299765166228,2.070651951458797,1 3
dual,61,objective,optimal,25994,4,5,0.0029557999987446237,-0.027196635339872988,2.0860390754174696,1 3
dual,62,objective,optimal,25994,4,5,0.002805900003295392,-0.005430808882246202,2.153707502041132,1 3
dual,63,feasible,optimal,25994,4,5,0.000814300001366064,0.014230652386681975,0.014230652386681975,1 3
dual,64,feasible,optimal,25994,4,5,0.0009829000009631272,0.032406290303794036,0.032406290303794036,1 3
dual,65,feasible,optimal,25994,4,5,0.0015353000017057639,0.05040814167597865,0.05040814167597865,1 3
dual,66,feasible,optimal,25994,4,5,0.0014421999985643197,0.06533030933189572,0.06533030933189572,1 3
dual,67,feasible,optimal,25994,4,5,0.0013634999995701946,0.07509635362319787,0.07509635362319787,1 3
dual,68,feasible,optimal,25994,4,5,0.001408399999490939,0.08422613375496149,0.08422613375496149,1 3
dual,69,feasible,optimal,25994,4,5,0.0012982999978703447,0.08957410408054606,0.08957410408054606,1 3
dual,70,feasible,optimal,25994,4,5,0.0011990999992121942,0.09359922179604487,0.09359922179604487,1 3
dual,71,feasible,optimal,25994,4,5,0.0010282000002916902,0.09373973058265278,0.09373973058265278,1 3
dual,72,feasible,optimal,25994,4,5,0.0016740999999456108,0.09658763821032612,0.09658763821032612,1 3
dual,73,feasible,optimal,25994,4,5,0.001277999999729218,0.09918333232541074,0.09918333232541074,1 3
dual,74,feasible,optimal,25994,4,5,0.0009405999990121927,0.10103692318091742,0.10103692318091742,3
dual,75,feasible,optimal,25994,4,5,0.0009770999968168326,0.10087415765948156,0.10087415765948156,3
dual,76,feasible,optimal,25994,4,5,0.000965299997915281,0.09644894808667338,0.09644894808667338,3
dual,77,feasible,optimal,25994,4,5,0.0009002999977383297,0.09479057386480239,0.09479057386480239,3
dual,78,feasible,optimal,25994,4,5,0.00116379999963101,0.09304925420482871,0.09304925420482871,3
dual,79,feasible,optimal,25994,4,5,0.0008973000003607012,0.08992226272568796,0.08992226272568796,3
dual,80,feasible,optimal,25994,4,5,0.0008716999982425477,0.08494645059596834,0.08494645059596834,3
dual,81,feasible,optimal,25994,4,5,0.001339999998890562,0.08005984141195564,0.08005984141195564,3
dual,82,feasible,optimal,25994,4,5,0.0008109000009426381,0.07202240896926948,0.07202240896926948,3
dual,83,feasible,optimal,25994,4,5,0.0008338000006915536,0.06504088673767588,0.06504088673767588,3
dual,84,feasible,optimal,25994,4,5,0.0008082000022113789,0.05638193843605875,0.05638193843605875,3
dual,85,feasible,optimal,25994,4,5,0.0008125999993353616,0.04438916139948413,0.04438916139948413,3
dual,86,feasible,optimal,25994,4,5,0.0012055000006512273,0.03731837105973444,0.03731837105973444,3
dual,87,feasible,optimal,25994,4,5,0.0008226999998441897,0.02684730263971238,0.02684730263971238,3
dual,88,feasible,optimal,25994,4,5,0.00082730000212905,0.011363051465173465,0.011363051465173465,3
dual,89,objective,optimal,25994,4,5,0.0030501000001095235,-0.0026856855947974476,1.8903468657779554,3
dual,90,objective,optimal,25994,4,5,0.002404700000624871,-0.01115553362562845,1.8130960720556124,1 3
dual,91,objective,optimal,25994,4,5,0.00253300000258605,-0.017254079975672718,1.7802855220821778,1 3
dual,92,objective,optimal,25994,4,5,0.003164199999446282,-0.020559199865897645,1.7636671700290523,1 3
dual,93,objective,optimal,25994,4,5,0.0029824999983247835,-0.022009781990782254,1.754130003826452,1 3
dual,94,objective,optimal,25994,4,5,0.0028628000000026077,-0.024567660630295224,1.7434294035306332,1 3
dual,95,objective,optimal,25994,4,5,0.0027286000004096422,-0.022369220001788172,1.7483192388226962,1 3
dual,96,objective,optimal,25994,4,5,0.00297359999967739,-0.026065401365410912,1.7406864971155998,1 3
dual,97,objective,optimal,25994,4,5,0.0031373000019812025,-0.0294574013663532,1.7336330578919876,1 3
dual,98,objective,optimal,25994,4,5,0.0032117000009748153,-0.03283962581929299,1.7295337984998111,1 3
dual,99,objective,optimal,25994,4,5,0.003048899998248089,-0.03596971687420571,1.7268867706948492,1 3
dual,100,objective,optimal,25994,4,5,0.002757399997790344,-0.04182102302158083,1.7212844352692076,1 3
dual,101,objective,optimal,25994,4,5,0.003291400000307476,-0.04622587810800345,1.717565123186217,1 3
dual,102,objective,optimal,25994,4,5,0.0030943999990995508,-0.048602720954632986,1.7181969513639275,1 3
dual,103,objective,optimal,25994,4,5,0.003401599999051541,-0.05374255065096856,1.7168615714319109,1 3
dual,104,objective,optimal,25994,4,5,0.002605900001071859,-0.05755685359689032,1.7108788207481993,1 3
dual,105,objective,optimal,25994,4,5,0.002722500001254957,-0.06014978557917859,1.708724823156001,1 3
dual,106,objective,optimal,25994,4,5,0.0023776000016368926,-0.061442942003415144,1.7033348862763074,1 3
dual,107,objective,optimal,25994,4,5,0.0034197999993921258,-0.06178309033426006,1.6969684274684314,1 3
dual,108,objective,optimal,25994,4,5,0.004261199999746168,-0.0633285773235362,1.6873898345544829,1 3
dual,109,objective,optimal,25994,4,5,0.0029422000006888993,-0.0626649639884389,1.6771787101831621,1 3
dual,110,objective,optimal,25994,4,5,0.002267399999254849,-0.06414748765545575,1.6615345913748283,1 3
dual,111,objective,optimal,25994,4,5,0.002642200000991579,-0.0642732783093527,1.6469665377084357,1 3
dual,112,objective,optimal,25994,4,5,0.001974099999642931,-0.06724420765045437,1.6293348735369018,1 3
dual,113,objective,optimal,25994,4,5,0.0027856000015162863,-0.06853872747534788,1.612538440924412,1 3
dual,114,objective,optimal,25994,4,5,0.0021888999981456436,-0.06815761686382059,1.5947616991819258,1 3
dual,115,objective,optimal,25994,4,5,0.002367900000535883,-0.06985204258320146,1.5749010992307635,1 3
dual,116,objective,optimal,25994,4,5,0.0026030000008177012,-0.0734872886539601,1.55525560160678,1 3
dual,117,objective,optimal,25994,4,5,0.0028597999989870004,-0.07563968801105493,1.537632869526159,1 3
dual,118,objective,optimal,25994,4,5,0.003764099998079473,-0.07449439810288119,1.5182014587468855,1 3
dual,119,objective,optimal,25994,4,5,0.004101899998204317,-0.07657539663413401,1.4976507908127559,1 3
dual,120,objective,optimal,25994,4,5,0.003491100000246661,-0.07570060904016215,1.4824665645988615,1 3
dual,121,objective,optimal,25994,4,5,0.003840700002911035,-0.07644609209434716,1.4668860412225369,1 3
dual,122,objective,optimal,25994,4,5,0.004532499999186257,-0.07843863921441929,1.4508121659265798,1 3
dual,123,objective,optimal,25994,4,5,0.004226500001095701,-0.08010001637064915,1.4372395221704148,1 3
dual,124,objective,optimal,25994,4,5,0.0032892999988689553,-0.0790255938683602,1.4236318616422838,1 3
dual,125,objective,optimal,25994,4,5,0.003458299997873837,-0.07596231029549647,1.413038011918461,1 3
dual,126,objective,optimal,25994,4,5,0.004440900000190595,-0.06800272123802976,1.4031665108085127,1 3
dual,127,objective,optimal,25994,4,5,0.004255799998645671,-0.06252537029495932,1.3924536555030784,1 3
dual,128,objective,optimal,25994,4,5,0.004362499999842839,-0.05596130659216358,1.385865773198947,1 3
dual,129,objective,optimal,25994,4,5,0.0038451000000350177,-0.04525796736497978,1.3880508290827664,1 3
dual,130,objective,optimal,25994,4,5,0.0038282999994407874,-0.034850727424771015,1.3952746308287884,1 3
dual,131,objective,optimal,25994,4,5,0.004350700000941288,-0.024183015280136926,1.4145789952236072,1 3
dual,132,objective,optimal,25994,4,5,0.003797199999098666,-0.010621922100847014,1.4662698413977349,1 3
dual,133,feasible,optimal,25994,4,5,0.001152400000137277,0.0005593969871942571,0.0005593969871942571,3
dual,134,feasible,optimal,25994,4,5,0.0012380999978631735,0.006687215621525805,0.006687215621525805,3
dual,135,feasible,optimal,25994,4,5,0.001168100003269501,0.01380902573339943,0.01380902573339943,3
dual,136,feasible,optimal,25994,4,5,0.0010502999975869898,0.016223069588308252,0.016223069588308252,3
dual,137,feasible,optimal,25994,4,5,0.001208300000143936,0.018584804319892484,0.018584804319892484,3
dual,138,feasible,optimal,25994,4,5,0.0012998999991395976,0.01898289514787464,0.01898289514787464,3
dual,139,feasible,optimal,25994,4,5,0.0011646999992080964,0.01758609301145505,0.01758609301145505,3
dual,140,feasible,optimal,25994,4,5,0.0012333000013313722,0.015185636103467426,0.015185636103467426,3
dual,141,feasible,optimal,25994,4,5,0.0020067999976163264,0.01293439234039738,0.01293439234039738,3
dual,142,feasible,optimal,25994,4,5,0.001025199999276083,0.010225503337931503,0.010225503337931503,3
dual,143,feasible,optimal,25994,4,5,0.0011860999984492082,0.009766009671105417,0.009766009671105417,2
dual,144,feasible,optimal,25994,4,5,0.0011920000033569522,0.01760631278064392,0.01760631278064392,2
dual,145,feasible,optimal,25994,4,5,0.0011058999989472795,0.022874399022882734,0.022874399022882734,2
dual,146,feasible,optimal,25994,4,5,0.0014040000023669563,0.03195086259526627,0.03195086259526627,2
dual,147,feasible,optimal,25994,4,5,0.001382899998134235,0.04123263770596743,0.04123263770596743,2
dual,148,feasible,optimal,25994,4,5,0.0014570000021194573,0.04795574328973061,0.04795574328973061,2
dual,149,feasible,optimal,25994,4,5,0.0019389999979466666,0.05801460006083689,0.05801460006083689,2
dual,150,feasible,optimal,25994,4,5,0.001961699999810662,0.0670544685703834,0.0670544685703834,2
dual,151,feasible,optimal,25994,4,5,0.0016981000007945113,0.0753482773684635,0.0753482773684635,2
dual,152,feasible,optimal,25994,4,5,0.002120900000591064,0.08380981708789209,0.08380981708789209,2
dual,153,feasible,optimal,25994,4,5,0.001803699997253716,0.09115395553029111,0.09115395553029111,2
dual,154,feasible,optimal,25994,4,5,0.0017880000013974495,0.09784773617748264,0.09784773617748264,2
dual,155,feasible,optimal,25994,4,5,0.0016243999998550862,0.1030704577334327,0.1030704577334327,2
dual,156,feasible,optimal,25994,4,5,0.0019178000002284534,0.10349485993983776,0.10349485993983776,2
dual,157,feasible,optimal,25994,4,5,0.001956700001755962,0.10017886072336094,0.10017886072336094,2
dual,158,feasible,optimal,25994,4,5,0.0017198999994434416,0.09504876381162156,0.09504876381162156,2
dual,159,feasible,optimal,25994,4,5,0.001616400000784779,0.09151826731263926,0.09151826731263926,2
dual,160,feasible,optimal,25994,4,5,0.0016624000018055085,0.08854219436308915,0.08854219436308915,2
dual,161,feasible,optimal,25994,4,5,0.00192090000200551,0.08550658355302058,0.08550658355302058,2
dual,162,feasible,optimal,25994,4,5,0.002204899999924237,0.08090703772055388,0.08090703772055388,2
dual,163,feasible,optimal,25994,4,5,0.003224799998861272,0.07894176980959974,0.07894176980959974,2
dual,164,feasible,optimal,25994,4,5,0.0019084000014117919,0.07795820777155231,0.07795820777155231,2
dual,165,feasible,optimal,25994,4,5,0.002840100001776591,0.0782219740959401,0.0782219740959401,2
dual,166,feasible,optimal,25994,4,5,0.0020541999983834103,0.08110307859435606,0.08110307859435606,2
dual,167,feasible,optimal,25994,4,5,0.0019511999998940155,0.08510268154697032,0.08510268154697032,2
dual,168,feasible,optimal,25994,4,5,0.0018638000001374166,0.0905405035708179,0.0905405035708179,2
dual,169,feasible,optimal,25994,4,5,0.001866499998868676,0.09232219199949299,0.09232219199949299,2
dual,170,feasible,optimal,25994,4,5,0.0018659000015759375,0.09383009483195923,0.09383009483195923,2
dual,171,feasible,optimal,25994,4,5,0.002076900000247406,0.09041315587122423,0.09041315587122423,2
dual,172,feasible,optimal,25994,4,5,0.001836299998103641,0.09529466675573124,0.09529466675573124,3
dual,173,feasible,optimal,25994,4,5,0.00177590000021155,0.1021120507467234,0.1021120507467234,3
dual,174,feasible,optimal,25994,4,5,0.0016362999995180871,0.10936707203442539,0.10936707203442539,3
dual,175,feasible,optimal,25994,4,5,0.0016394999984186143,0.11416180838827628,0.11416180838827628,3
dual,176,feasible,optimal,25994,4,5,0.0016948999982560053,0.11816395334986864,0.11816395334986864,3
dual,177,feasible,optimal,25994,4,5,0.0016572999993513804,0.11697494717519083,0.11697494717519083,3
dual,178,feasible,optimal,25994,4,5,0.0011931000008189585,0.1159883667644601,0.1159883667644601,3
dual,179,feasible,optimal,25994,4,5,0.0014907000004313886,0.11314641532605423,0.11314641532605423,3
dual,180,feasible,optimal,25994,4,5,0.0011611999980232213,0.10994064927175032,0.10994064927175032,3
dual,181,feasible,optimal,25994,4,5,0.0011067000014008954,0.10614166225027855,0.10614166225027855,3
dual,182,feasible,optimal,25994,4,5,0.0009809000002860557,0.10143322889529849,0.10143322889529849,3
dual,183,feasible,optimal,25994,4,5,0.0008591000005253591,0.09506476557158029,0.09506476557158029,3
dual,184,feasible,optimal,25994,4,5,0.0009821000021474902,0.08983481156485418,0.08983481156485418,3
