metric,legacy_tree,db_action,delta_db_minus_legacy
objective_last,13.093302217807215,4.230276787160444,-8.863025430646772
objective_mean,8.925295949620722,5.47246541827998,-3.4528305313407417
objective_last10_mean,12.076754172051695,3.549306188416184,-8.527447983635511
objective_last20_mean,11.503988074625369,3.3105249390613034,-8.193463135564066
cost_last,0.22024862617312307,0.5053783845707638,0.2851297583976407
cost_mean,0.44839748944899205,0.37196399440236516,-0.07643349504662689
cost_last10_mean,0.34876331530265475,0.7462310414077817,0.397467726105127
cost_last20_mean,0.3575806880820589,0.7070046854099468,0.34942399732788787
