episode,objective,cost
1,7.685487683059682,0.13559873868559522
2,8.887681840914725,0.19143468591498286
3,8.898621572843092,0.1498794344811141
4,9.04663555305028,0.08990832136397778
5,9.482785846549511,0.23653567902977335
6,8.871547487699546,0.11651821560278286
7,9.598926339917936,0.13473372796997446
8,9.508577872482856,0.15071646773649186
9,9.338056057714976,0.14820754821278567
10,8.874512906924094,0.1624089215299269
11,8.904357716448335,0.17276743825613206
12,8.544445554352656,0.14347760947739124
13,8.50651340972568,0.2015496159066568
14,8.616322151695261,0.1507810843058187
15,8.691033127104763,0.16261182331186383
16,8.540817854194717,0.12533395176380524
17,8.637142038861427,0.2631696246512978
18,8.200380281104149,0.33184423027981025
19,8.26134157501456,0.1861523564361695
20,8.335343146373976,0.2517011822985475
21,7.595891513692826,0.17969990358153737
22,7.862141298338604,0.1916733581864473
23,7.692018341468886,0.28711300849292115
24,7.705762404285679,0.2923218672950377
25,7.593003513347902,0.39921439324374347
26,7.518801675568015,0.24369002211411117
27,7.177988801334123,0.19536894654098474
28,7.035671042458005,0.27785022076750643
29,6.94715914134231,0.17055554025007588
30,7.012555211780596,0.21072136991672963
31,6.963329345826605,0.23633296622487113
32,6.9972377050391,0.2674152356292771
33,7.3415860958865435,0.29015540733034295
34,6.774860728031501,0.27975550205339106
35,6.95313215147037,0.46915574743997007
36,7.196741328078952,0.33536940373463686
37,7.045669880073691,0.30949461397927086
38,6.73416102929153,0.6815032089167178
39,6.830369882428514,0.6527330772289534
40,6.7094795852640505,0.5377082888074098
41,7.28600259079202,0.3427151692548781
42,6.8400309677313045,0.7172652980413067
43,7.116712616826191,0.43123002778366926
44,7.405973114624791,0.5514996449275898
45,7.312984822912143,0.530992322379142
46,7.4033460966791305,0.6477847447889147
47,7.280941881843795,0.6730577783983053
48,7.490679472764079,0.7058258223523022
49,7.865290731096306,0.8487414197924735
50,7.622429618134761,0.7143877096101232
51,8.105910375443512,0.8512874830758069
52,7.710577072889837,0.8216941010284927
53,8.292839229122723,0.8330738571949574
54,8.262291545149822,0.5849994824758978
55,8.318358191980343,0.9813886029982553
56,8.326365992079172,1.0672722092558196
57,8.641795422590326,0.9640430152994531
58,8.297555790695485,0.8221136261507502
59,8.401519725373698,0.9393543041875952
60,8.247208733332636,0.6924190447569303
61,8.42525615752394,0.6907657351146167
62,8.541718495361309,0.6874844360176394
63,8.550592807494617,0.7403882743175404
64,8.988480575239018,0.7693408938466543
65,8.905721300372214,0.8669910460515459
66,8.95771701270647,0.5565027724691355
67,9.401176518806208,0.5612967184026344
68,9.272728287806467,0.5853120180232475
69,9.259737442860349,0.7784449140478473
70,9.293746842109483,0.8575727754983405
71,9.342596499293709,0.6736443599358491
72,9.60993776675006,0.592281347169818
73,9.896158408715412,0.5006015926612771
74,9.86992324625105,0.5348817341444253
75,9.346825063962763,0.5872851605189205
76,9.779346927105706,0.6773182218843331
77,9.670705310130835,0.6214218416536702
78,10.101052291032097,0.39244287096991265
79,9.914130963074994,0.5572721958307545
80,9.975376869866016,0.722577871998374
81,10.231546906623315,0.522990751207527
82,10.220718735857174,0.4207071567551553
83,10.527952420525189,0.523561571343058
84,10.528024889841136,0.26828666833461634
85,11.533826248646935,0.3168111344149438
86,11.102982414158673,0.31883787591257257
87,10.833586764417896,0.25992005096339726
88,11.403899249465058,0.4260524676284604
89,11.632229391901197,0.14784568516376573
90,11.297452750553838,0.45896724689113294
91,12.002550312260778,0.36854903909359044
92,11.361387479714983,0.6322415412289665
93,11.611070901419193,0.3855319284775258
94,11.896616457104619,0.3363901002412906
95,12.259541419547968,0.32942044883687105
96,12.85065669998943,0.1666747256740269
97,11.792690477793567,0.3790949663387725
98,12.068452292529871,0.3960514785815984
99,11.831273462349317,0.2734302983807826
100,13.093302217807215,0.22024862617312307
